f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[94 32],[56 21],72,12,[57 15],[64  4],[[ 4 14 32 88]; [16 42 68 36]],[[ 42   4  68  64]; [ 82 102  72  64]],[44 64 18 14],[32 88 30  4]
[34 13],[ 4 48],30,4,[19 84],[99 38],[[44 90 12 34]; [44 34 20 62]],[[90  8 10 56]; [36 14 16 40]],[32 44 36  6],[62 24  8 42]
[ 1 29],[39 52],30,12,[62 60],[102  65],[[74 32 98  2]; [50 90 68 20]],[[ 8 82 62 12]; [16 52  8 48]],[14 80 34 36],[60 98 46 96]
[70 32],[86 75],54,102,[94 37],[103  70],[[ 60  48  74  86]; [ 16  24  34 102]],[[ 4  4 52 82]; [70 44 22 80]],[82  6 36 18],[ 6 12  2 48]
[26 69],[34 13],64,84,[53 22],[78 59],[[72 84 92 40]; [26 88 26  4]],[[ 94  70  38  52]; [ 80  26 102  48]],[50 26 50 14],[  2  44   4 102]
[40  0],[88  1],38,34,[67 20],[41 11],[[30 40 60 84]; [46 82 76 96]],[[30  8 74  4]; [64 10 72  2]],[ 92   2  38 104],[84 48 60 20]
[9 0],[63 90],80,64,[79 75],[74 53],[[54 70  8 68]; [42 82 62 82]],[[12  2 84 42]; [ 6 44 72 28]],[36 52 40 48],[ 0 12 22 12]
[32 86],[74 37],42,78,[25 54],[49 36],[[ 4 30 20 36]; [58 72 22 62]],[[ 76   2  34  72]; [ 86  46 100  10]],[ 8 92 20  2],[26 60 94  6]
[ 9 13],[89 83],92,72,[42 78],[46 29],[[66 30  8 50]; [44  0 14 64]],[[84 70 54 26]; [78 98 42  8]],[66 22 20 48],[ 10  68 102  92]
[101  50],[94 38],36,24,[69 16],[49 79],[[ 20 104  18   2]; [  8  22  42  96]],[[ 16  20  10  66]; [ 24 104  76  12]],[52 20 24 98],[36 54 44 66]
[30 77],[68 66],86,28,[11 54],[31 68],[[98 84 46 90]; [82 72 12 64]],[[ 10   2   2 104]; [ 94  20  90  40]],[32  2 74 70],[72 76 14 38]
[19 89],[ 15 101],38,40,[18 14],[ 32 102],[[  0 102  78  70]; [ 62  24  58  52]],[[48 42  4 72]; [70 14 98 58]],[100  92 100  80],[30 28 72 54]
[13 23],[ 1 64],64,86,[102   4],[44 32],[[ 0 68 92 48]; [12 88 36 94]],[[ 86  18  26  70]; [ 38 104  98  36]],[88 84  4 46],[ 8 82 98 64]
[100  40],[ 5 34],102,20,[24 92],[ 3 57],[[100  58  78  72]; [ 42  40 100  32]],[[26 70 18 70]; [ 8 86 26 96]],[72 48 42 18],[104  18  52  66]
[50 15],[70  0],20,52,[69 78],[79 20],[[46 64 58 10]; [16 32 72 32]],[[ 40  18 104  34]; [ 56  92  74  66]],[66 84  6 28],[52 74 48 60]
[73 44],[26 91],36,18,[ 5 40],[84 89],[[100 102  40  50]; [ 64  62  52  30]],[[50 84 30 86]; [ 0 16 80 58]],[ 2 76  4 80],[44 94 48 22]
[50 52],[74 13],36,18,[14 49],[41 96],[[60 96  6 62]; [96  8 12 32]],[[80  8 74 56]; [90 44 44  0]],[12 44 14 38],[40 30 58 12]
[39 95],[97 36],58,50,[ 5 38],[55 23],[[ 62  60 104   6]; [ 30  10  48  26]],[[54  8 54 98]; [64 90 98  4]],[40 52 28 72],[84 62 52 28]
[37 44],[79 65],36,46,[35  4],[76  2],[[ 50  62 104 102]; [ 76  36  80  62]],[[24 14 68 94]; [20 28 92 46]],[34 90 40 28],[  0   4  22 104]
[22 86],[91 52],88,10,[87  3],[ 88 101],[[84 82 90 16]; [34 42 94 32]],[[  8   8  70  88]; [104  82  18  24]],[44 42 64 48],[92 70  0 64]
[100   9],[57 43],80,22,[75 97],[42 36],[[ 80 100  90  72]; [ 40  62  74  60]],[[60 46  8 54]; [62 54 60 50]],[74 70 50 16],[58 40 96 34]
[33 87],[47 28],50,90,[57 82],[50 94],[[  8  82  88  82]; [100  78  40  42]],[[66 68 30  0]; [56 38 48 98]],[60 90 86 54],[102  12  68  90]
[ 9 56],[75  1],34,48,[78 25],[103  12],[[ 32 104  24  46]; [ 18 104  66  54]],[[90 68 70  4]; [90 20 44 80]],[18 86 90 28],[70 50 44 16]
[101  15],[28 99],92,20,[72 24],[53 14],[[28 76 36 10]; [56 50 78 10]],[[ 74  52  18 104]; [ 86  86  76  54]],[ 62  86  94 100],[100  64  56  28]
[ 33 103],[87 92],58,62,[29 23],[42 77],[[74 94 44 44]; [78 12 54 46]],[[ 66   6  72  76]; [ 96  84 102  22]],[92 76 90 26],[92 86 66 76]
[28 41],[38 47],82,44,[44 55],[91 34],[[56  6 72 82]; [60 58 36  2]],[[ 46  28 104  34]; [ 82  24   6  62]],[66 18 42 64],[64  8 48 84]
[101  37],[66 18],38,20,[27 89],[10 42],[[64 34 76 80]; [76  2 42 62]],[[ 28 104  28  54]; [ 54  14  18  94]],[52 84 28 34],[ 0 50 46 72]
[102  14],[64 54],2,28,[10  2],[50 50],[[ 28   0  96   6]; [ 60  74 102  64]],[[22  4 32 54]; [44 80 36 36]],[50 14 10 70],[78 22 76 74]
[ 9 77],[90 53],4,82,[57  3],[90 54],[[ 10  68 100  26]; [  0  84  18  80]],[[16 86 64 68]; [ 4 66 92 36]],[100  86  26  16],[94 82 34 64]
[23 99],[55 64],82,10,[ 7 48],[  5 100],[[44 90 74 88]; [26 56 56 34]],[[70 80 34 40]; [76  4 70  8]],[98 34 90 80],[88 80 46 34]
[ 9 83],[94 57],62,14,[9 5],[98 92],[[ 50  82  24   8]; [ 46 100  22   6]],[[ 14 100  92  40]; [ 62   8 104  94]],[72 94 74 24],[44 20 14  6]
[78 30],[90  6],96,60,[38 91],[94  7],[[ 72  54  30  24]; [ 16 102  74  14]],[[ 28  20  68  60]; [ 54  44 100  32]],[64 76 32 66],[80 90 96 32]
[60 32],[96 13],52,82,[15 34],[43 91],[[84 84 44 96]; [ 8 62 58 90]],[[ 6  2 50 24]; [14  4 62 84]],[26 94 34 52],[28 14  0 20]
[90 35],[100  71],28,94,[64 31],[ 1 29],[[100 104  90  18]; [  6  78  58  68]],[[64 82 90 60]; [94 40 18 76]],[76 66 56 46],[74 94 54  2]
[59 49],[28 49],102,68,[ 51 102],[101  73],[[90 84 40 84]; [92 14 78 82]],[[78 34 18 90]; [18 76 72 54]],[42 96 12 68],[16 48 78  8]
[77 45],[ 84 104],56,50,[ 2 85],[10 11],[[32 44 76 74]; [84 34 42 94]],[[ 46  16  92  16]; [ 74 102 102  80]],[86 22 80 20],[84 50 84 90]
[11 68],[65 64],54,44,[77 71],[100  20],[[22 36 68 76]; [18 60  2 44]],[[48 54 66 88]; [54 54 30 36]],[48 30 14 60],[14 12  2 74]
[73 97],[ 6 80],36,92,[25  4],[76 20],[[14 76 60  2]; [22  2  0 52]],[[68 26 78 34]; [26 44 46  2]],[64 60 50 96],[24 10 28 58]
[104   1],[67 79],90,38,[13 67],[99 73],[[102  30  26  94]; [  6  68  80  24]],[[104  92  70  88]; [  0 102   8  46]],[ 68  86 102  20],[32 74 30 36]
[103  35],[70 44],6,66,[ 6 57],[ 33 103],[[ 6 64 26 96]; [30 50  4 30]],[[ 44 100  68  16]; [ 44  56  24  36]],[18 40 92 74],[10 34 66 36]
[98  7],[23 32],20,66,[54 79],[ 9 78],[[94 98  0  2]; [38 68 48 58]],[[ 6 38 50 10]; [54 82 68 80]],[44 48 74 90],[54  8  8 56]
[15 98],[86 28],84,20,[90 89],[91 51],[[ 6 88  0 42]; [54 78 92 60]],[[14  8 80  0]; [48 24  0 40]],[94 56 52 44],[102   6  54  68]
[85 75],[ 4 56],36,50,[ 4 45],[63 62],[[ 82  54  10  52]; [102  78  48  40]],[[  2  16  64  26]; [ 34  30 102 100]],[ 12   0  50 104],[76 84 36  2]
[52 46],[64 84],2,38,[82  2],[40 83],[[42 62 56 14]; [56 24 86 24]],[[46 84 48 56]; [92 66 10 20]],[94  8 78 28],[34 80 98 20]
[19 71],[59 85],80,44,[14 63],[11 12],[[48 70 70 50]; [30 44 82 26]],[[  4  66 102  56]; [ 50  20  60  24]],[16 44 70 74],[86 30 84 26]
[90 65],[94 32],22,88,[31 89],[36 33],[[24 82 20 84]; [96  8 94 14]],[[14 44  4 24]; [76 90 72 24]],[30 22  4 92],[104  52  48  42]
[98 15],[29 54],10,100,[90 45],[75 49],[[68 14 30 20]; [36 12 26 80]],[[24 86 80 78]; [26 40 18 70]],[86 54 38 26],[18 42 34  2]
[13  3],[13 30],32,50,[57 50],[95 45],[[20 52 92 24]; [18 70 58 82]],[[ 12   8 100  34]; [ 12   2  40  84]],[16  8 50  4],[10 86 92 98]
[82 24],[67 61],54,44,[57 77],[94 71],[[36 52 18 64]; [ 8 64 82 78]],[[ 34  30  30   4]; [ 62  98  64 102]],[ 86 100  20  52],[ 48  18  96 102]
[91 35],[80 79],50,58,[27 49],[87 55],[[ 34 102  90  90]; [102 104  40  96]],[[ 42  14  78  74]; [102  74  32  14]],[48 72 88 28],[38 56 38 94]
[ 9 21],[49 45],38,70,[76 42],[49  1],[[ 6 90 84 26]; [42 46 88 76]],[[48 30 60 78]; [48 14 18 56]],[ 0 46 60 22],[40 98 98 56]
[95 71],[98 24],90,4,[68 50],[70 73],[[84 20 78 98]; [48 88 64 92]],[[ 8 30 74 30]; [96 44 46 28]],[32 76 56 92],[10 64 26 30]
[69 37],[71 93],26,70,[27 77],[83 36],[[ 82  90  60 104]; [  4  84  52  74]],[[ 46 102  50  62]; [ 72 104  10  78]],[ 66  56 100  76],[82 98 72 72]
[83 76],[26 87],100,10,[65 23],[  3 102],[[32 40 16 36]; [58 42 10  6]],[[72 78 88 92]; [74 36  8 86]],[80 56 46 24],[50 14 22 46]
[45 49],[49 37],98,38,[81 97],[24 50],[[104  12  82  70]; [ 70  10  60  58]],[[  2  46  70  60]; [102  38  24   2]],[78 86 52  4],[ 24  46  34 100]
[24 14],[20 91],42,62,[84 39],[89 72],[[20 60 62 50]; [32 94 76 36]],[[58 42 48  6]; [ 4 24 88 18]],[48 78 26 82],[90 10 70 20]
[103  19],[83 93],98,76,[  7 102],[29 84],[[ 88  12  66  42]; [102  76  74  80]],[[26 62 92 50]; [72 52  2 22]],[94 28 82 28],[62 82 68 78]
[99 79],[60 64],64,56,[18  8],[77 43],[[18 76 72 96]; [66 38  4 76]],[[ 82  78  52  86]; [104  10 102 102]],[ 2 90 94 56],[92 64 90 20]
[20 27],[102  88],12,64,[57 87],[  9 103],[[ 52 100  84  34]; [ 38  60  62  48]],[[16 28 72 10]; [20 86 20  0]],[ 14 100  14  48],[ 48 104 104  94]
[80 65],[67 65],16,38,[41 66],[73 60],[[22 58 12 94]; [66 28  2 36]],[[88 20 80  6]; [50 24 10 82]],[90 74 82 44],[92 42 74 92]
[44 57],[ 49 104],74,78,[18 96],[46 89],[[ 0 48 32 58]; [16 46  2 82]],[[98 56 28 36]; [62 58 96 68]],[74 76 14 28],[94 82 72 40]
[46 20],[16 54],88,30,[94 77],[23 98],[[44  0 72 48]; [16 82 86 82]],[[96 34 58 96]; [24 36 36 58]],[86 76  2 90],[24 52 92 42]
[74  0],[76 96],58,40,[69 23],[  4 100],[[84 96 62 38]; [82 34  8 28]],[[22 68 76  6]; [34 18 56 40]],[82 32 36 28],[ 70  18 104  46]
[40 82],[85 94],62,64,[97 11],[10 61],[[ 14  56  50  96]; [ 82  60 102   8]],[[56 40 92 70]; [30 48 20 90]],[86 54 14 80],[ 20 104  48  12]
[41 80],[ 47 104],18,94,[ 6 23],[52 85],[[102  66  66  10]; [ 82  58   0  32]],[[34 52 46 94]; [78  2 52 26]],[42 14 10  6],[74 82 54 24]
[52 41],[44  7],56,36,[82 20],[64 26],[[ 30  74  56 100]; [ 38   2  84  80]],[[94 16 44 20]; [88 62 24  0]],[22 40 72 16],[52 40 32 66]
[67 73],[ 2 75],58,16,[ 3 20],[48  0],[[62 68 58 84]; [86 10 42 92]],[[102  46   0   2]; [ 38  90   8  80]],[100  88  32  22],[34 94 56 78]
[ 2 78],[87 59],72,4,[13  6],[83 35],[[70 58 10 78]; [94 90 86 82]],[[58 50 42 56]; [72 88 82 50]],[40  4 96  0],[14 48 24 12]
[28 69],[65 84],60,94,[37 13],[82 96],[[104  16  80  32]; [ 68 102  50  14]],[[48 16 82 56]; [32 24 22 96]],[56 24 60 70],[ 24  26   2 102]
[63  2],[29 72],102,76,[13  0],[75 36],[[ 0 76 32 54]; [82  8 88 40]],[[28 46 26  6]; [60 50 54 96]],[12 10 20 42],[ 4 40 46  8]
[99 53],[103  45],30,90,[25 51],[ 44 100],[[104  88  24   6]; [ 86  86  78  28]],[[104  98  86  46]; [ 64  64  16 102]],[84  0 16 88],[ 4 54 12 94]
[35 35],[77  8],96,2,[67 33],[87 15],[[12  8 54 80]; [92 76 20 58]],[[94 14 88 82]; [70 80 14 56]],[90 28 76 30],[22 14 28  2]
[78 12],[48  2],40,62,[28 73],[45 87],[[34 72 56 72]; [ 4 62 20 20]],[[ 60   0 102  98]; [ 88  62 104  46]],[58 90  6 68],[40 82 48 10]
[95 75],[38 30],54,82,[99 32],[46 75],[[ 6 18 32 10]; [ 8 22 44 32]],[[96 18 32 10]; [38 22 44 32]],[22 70 18 60],[62 46 88 10]
[99 68],[69 65],94,28,[74 29],[ 31 102],[[52 92 32 18]; [ 8 56 64 28]],[[100  74  94  14]; [  2  58  60   4]],[78 14 56 94],[64  0 60 70]
[69 44],[81 71],76,46,[98 71],[27 35],[[64 32 42 42]; [92 82 70 14]],[[18 12 98 16]; [30  8 70 20]],[72 26 88 86],[54 48 50 26]
[ 0 71],[ 24 100],48,10,[64 54],[47 88],[[ 58   6  88  38]; [ 22  68  70 102]],[[ 52  70  84  36]; [  4  98 104  88]],[62 18 52  8],[82 92 76 98]
[3 9],[97 79],58,100,[ 1 45],[55  0],[[32 20 82 90]; [ 0 72 70  4]],[[18 72 62  6]; [68 26 40 78]],[54 82 50 68],[92  0 18  8]
[84 84],[102   4],20,38,[102   4],[12 76],[[ 32 104  82  36]; [  0  40  44  42]],[[52 26 98 74]; [46  2 18 36]],[16 72 34 80],[ 2 98 78 98]
[43 98],[55 10],4,46,[91  6],[ 9 65],[[86 80 26 54]; [22 64 50 24]],[[84 40  8 76]; [44 88 46 58]],[32 10 30 52],[38 10 42  2]
[89 19],[27  1],16,84,[28 37],[13 83],[[56  6 38 38]; [26 74 18 10]],[[ 18  70  90  90]; [ 26  86 104  46]],[ 0 12  2  0],[ 16  38 102  50]
[26 34],[73 73],44,98,[76  7],[17 27],[[58 62 24 52]; [28 42 18  4]],[[22  6 56 60]; [78  8 18 16]],[10 84  8 80],[76 20 80 96]
[33 64],[48 78],4,10,[ 41 101],[90 56],[[72  6 86 64]; [76 72 22 28]],[[ 2 38  4  2]; [18 18 44 20]],[30  8 82 36],[20 98 56 18]
[29 44],[66  8],26,18,[88 19],[86 39],[[88 54 30 10]; [48 18 58 68]],[[84 82 96 14]; [84 54 24 76]],[44 76 10 36],[62 16 46 40]
[19 11],[68 65],26,62,[85 30],[24 67],[[ 60  60  96  92]; [104  86  16  32]],[[100  74  90  76]; [ 74   0 102  90]],[62 50 32 86],[ 20   8 104  26]
[34 34],[46 55],4,100,[69 83],[45  9],[[ 6 28 28 24]; [24 54  4 34]],[[92 46 20  2]; [24 82 38 36]],[ 44 100  98  84],[ 4 78 38 84]
[62 21],[23 75],40,80,[83 26],[81 47],[[30 24 30 50]; [68 20 92  8]],[[78 94 26 16]; [58 12 38 36]],[90 78 26 38],[82 64 76 52]
[93 47],[103  57],44,76,[62 30],[ 5 80],[[ 36  92  84 104]; [ 66 104  24  44]],[[56 36 30 58]; [74 56  0 20]],[40  2 70 28],[ 2 40 56  0]
[ 1 87],[53 60],64,82,[56 85],[39 45],[[50 40 76 52]; [ 2 84 96  2]],[[32 86 76 30]; [30 98 52 36]],[92 48 72 34],[ 78 102  90   8]
[14 79],[ 1 41],94,86,[76 70],[66 83],[[14 96 12 42]; [16 52 28 58]],[[ 2 50 64  6]; [48 74 44 14]],[72 18  8  4],[64 12 82 92]
[47 29],[88 58],40,58,[65  7],[73 11],[[ 36  30  96  96]; [ 72  66 102  24]],[[102  28  50  34]; [ 50  62  80  22]],[100  10  40  70],[ 6 94 66 68]
[52 10],[39 18],44,102,[24 66],[32 36],[[100  50  80  14]; [ 80  48  48   4]],[[42 58 24 20]; [76 90 40 54]],[58 24 60 26],[24 34 52  8]
[15 95],[14 85],46,4,[ 2 95],[96 54],[[76 86 90 62]; [46 60 64  6]],[[80 48 40 20]; [80 72 46 54]],[58 66 42 34],[72 92 52 38]
[62 77],[45 10],28,54,[49 20],[13  4],[[ 18 100  28  92]; [ 84  26  20  64]],[[98 96 68 74]; [30 50 16 92]],[86 36 36 74],[84 56 58 22]
[ 8 77],[69 34],66,28,[52 80],[101  38],[[28  0 98 30]; [ 6 10 34 62]],[[  8  86   4  52]; [ 98  46 102  84]],[46 78 62 68],[ 38 100  80   6]
[27 24],[60 56],86,62,[104  57],[87 91],[[  8 100  98   8]; [ 94  48  62  22]],[[ 4 64 40 82]; [68  2 96  6]],[ 2 40 44 84],[104  32 100  38]
[44 90],[100  76],72,4,[75 94],[20 26],[[ 30  14  52 102]; [ 24  94  74  12]],[[72  8 30 94]; [82 90 14 76]],[64  4 36 22],[ 2 62  2  2]
[100  89],[101  46],58,102,[61 38],[101  58],[[ 74  68 104  34]; [ 48  30  14  66]],[[ 50  40 104  50]; [ 76 100  30  90]],[30 64 24 28],[  8 102  44  14]
[97 65],[83 93],94,50,[16 87],[15 51],[[ 76  10 104  44]; [ 44  62  60  94]],[[18 28 32 66]; [84  4 42  2]],[ 0  8 66 44],[36 26 14 32]
[98 76],[57 88],62,76,[40 87],[76 83],[[ 64   4   4  64]; [ 24 100  16 102]],[[30 78 70 50]; [56 12  8  6]],[100  62  60  30],[ 8  0 72 60]
[93  9],[102  58],42,44,[16 32],[75 62],[[ 18  42   8  90]; [ 68 104  50  90]],[[ 34  18  86 102]; [ 78 104 100  82]],[42 26 98 52],[ 28 104  18  40]
[39 25],[20 28],2,64,[21 63],[14 32],[[ 54  46  76  20]; [ 92 102  46  48]],[[ 24  50 102  80]; [  6  16  22   0]],[ 4 86 86 40],[74 52 90 44]
[25 50],[69 35],54,76,[ 1 37],[18 59],[[ 14 102  96   4]; [  0  34  24  54]],[[96 96 10 38]; [88 44 24 76]],[30 86 88 88],[38 60 72  6]
[61  8],[69 93],44,18,[69 68],[85 46],[[ 28  68  64  14]; [ 82 100  62  46]],[[ 24 102   0  96]; [ 50  90  66   4]],[ 6 96 30 94],[12 12 20 16]
[15 75],[ 7 83],64,88,[19  6],[38 95],[[ 2 80 72 16]; [60 62  0 34]],[[ 72 102  68  98]; [ 94 104  70   6]],[94 80 40 66],[16 54 70 88]
[53 60],[81 53],4,26,[18 59],[22 29],[[ 26  88 100   4]; [ 96  86  58   6]],[[  4  10  24  50]; [ 46  58  42 100]],[14 58 90 46],[ 74  74  28 102]
[55 88],[75 81],12,60,[55 67],[80 28],[[58 56 16 12]; [54 38 22 12]],[[26 72  8 46]; [26 86 70  6]],[56 60 36 20],[ 64  56 102  26]
[39  4],[69 76],36,92,[39 23],[96 53],[[86 14 56 52]; [32 88 16 96]],[[64 24 44 28]; [46 20 42 78]],[68 28 46 66],[10 90 60 38]
[90 64],[49 67],30,98,[74  9],[37 50],[[90 42 62 42]; [12 30 18 68]],[[ 2 96 48  4]; [94 42 18 46]],[82 66 58 26],[12 98 52 52]
[77 11],[38 70],18,8,[ 7 73],[67 60],[[60  4 96 92]; [64 44 82 96]],[[104  14  18 102]; [ 92  42  36  64]],[28 88 98 32],[78  0 86 12]
[100  22],[32 76],94,92,[17 66],[73 58],[[52 10  0  8]; [96 16 74 44]],[[26 56 40 16]; [74 64 16 20]],[ 34  40 102  90],[88 96 22 94]
[76 24],[ 97 102],16,88,[55 77],[23  1],[[42 58 66 82]; [68 12 16 70]],[[ 0  4 50  0]; [24 62 30 82]],[42 84 58 94],[52 44 70 76]
[101  82],[20 87],14,62,[44 34],[81  7],[[ 50  78  42  14]; [104  76  64  80]],[[98 74 68 82]; [34 20 22 30]],[  6  52  18 100],[74 92 62 70]
[ 2 52],[66 36],70,42,[22 65],[90 48],[[42 10 70 38]; [52 10 52 20]],[[66  2 62 38]; [24 42  4 94]],[66 90 52 36],[ 6 18 18 86]
[66 19],[63 96],80,16,[66 68],[77 43],[[60 82 30 36]; [40 52 66  8]],[[ 28  14  86  96]; [ 36  32 100 100]],[60  8 58 28],[62 38 62  4]
[17 42],[12 23],34,46,[68 73],[91 49],[[ 98   2  14 100]; [ 10  12  82  70]],[[90 50 56 30]; [62 24 14 32]],[ 50 100  94  84],[ 6 96 74 18]
[32  5],[ 52 100],100,92,[103  71],[64 48],[[68 46 80 44]; [66 86 94 54]],[[ 84 104  12  90]; [ 72 102  70  82]],[88 28 54 16],[46 12 86  0]
[78  0],[95 96],42,6,[95 44],[16 50],[[48 62 12 58]; [88 12 88 96]],[[30 90 72  2]; [72  6 38 70]],[64 92 22 80],[68 14 32  6]
[72 18],[32 84],38,92,[32 63],[ 42 100],[[70 12  4 70]; [98 34 52 64]],[[ 96  74 102  34]; [ 26  76  76  98]],[  0  38  20 104],[ 38  46 104  66]
[15  6],[84 95],58,16,[34 95],[53 67],[[42 76 30 18]; [98 36 84 60]],[[ 22  94  52 100]; [ 12   8  70  22]],[ 30 100  22  28],[74 36 58 68]
[26 47],[89 11],44,22,[80 66],[34 56],[[100 102  52   0]; [ 84  22  48  36]],[[10 86  0 36]; [12 22 32 74]],[ 6 32 82 24],[ 74   8  14 102]
[94  8],[18 31],88,100,[100  45],[ 99 102],[[ 2 70 74 64]; [54  2 40 52]],[[ 70  38  68   2]; [ 66  20 100  38]],[ 40 100  48  64],[72 38 38 52]
[37 18],[22 26],8,38,[57 60],[17 40],[[ 0 24  6 14]; [20 18 30 38]],[[96 80 90 86]; [62 82 18 32]],[ 4 20  0 24],[38 34 10 54]
[7 2],[72 26],30,42,[78 10],[100  31],[[12 90 28 38]; [78 56 22 34]],[[80 72 82 98]; [18  0 18  2]],[ 12  90 100  72],[94 86 96 28]
[69  5],[60 45],88,90,[ 4 30],[70 84],[[98 88 60 14]; [ 8 86 16 30]],[[ 46  16  14  44]; [  0  60 104   2]],[82 82 42 12],[ 36  10  76 100]
[54 82],[37 46],88,8,[12 92],[34 65],[[62 90 14 70]; [76 26  6 72]],[[90 50 50  4]; [22 16 26 72]],[46 86 62 16],[50 38 88 72]
[20 84],[15 57],12,46,[52 11],[66 11],[[ 38  84  88 102]; [ 38  36  94  66]],[[ 6 94 80 24]; [62 54 98 32]],[102  26 102  48],[62 12 56 44]
[  1 103],[ 64 103],56,94,[48 94],[32 76],[[ 54   2  68  38]; [ 86  56 102   0]],[[92 30 86 28]; [ 0 88 84 10]],[80 90 30 30],[56 10 28 54]
[40 97],[29 97],2,66,[51 93],[44  0],[[96 14 24 88]; [50 82 94 18]],[[58 30  0 58]; [62 60 70 50]],[ 90 100  52  58],[76 96 54 88]
[51 59],[83 34],98,38,[40 37],[48 57],[[98 74  6 20]; [14 30 52 14]],[[ 6 74 88 18]; [20 14 28 96]],[ 40  14   8 102],[40  0 76 42]
[94 41],[82 12],78,74,[10 32],[ 48 100],[[10 18 12 32]; [56 78 18  4]],[[ 58 104 102   4]; [ 38  84  92  14]],[56 56 78  2],[88 28 28 10]
[103  28],[100  63],92,60,[54 78],[39 54],[[ 76  70  74  20]; [102  96  32  92]],[[48 30 20 32]; [72 18 66 28]],[42 32 64 76],[16 62 30 34]
[74  8],[10  6],26,98,[55 99],[60 87],[[52 42 32  0]; [32 66  0 62]],[[ 74   6  98  18]; [ 52 102   8  92]],[ 78  92 104  96],[ 34  14 100  12]
[11 11],[17 85],6,10,[42 83],[79  2],[[70 18 36 32]; [34 12 76 28]],[[ 58  30  80  78]; [ 72  40 104  24]],[24 88 92 34],[ 14 104   2  40]
[46 99],[102  84],86,22,[73 82],[26 81],[[56 66 78 48]; [ 0 36 30 66]],[[66 44 16 82]; [ 0  2 68 74]],[60  6 92 54],[12 22 76  4]
[56 33],[34 57],82,88,[91 79],[95  5],[[26 42  2 82]; [36 14 68 40]],[[76 90 30 90]; [96 72 38 68]],[54 68 88 74],[88 70 74 34]
[78 81],[ 3 23],46,38,[99 79],[18 31],[[ 30  36  64 100]; [ 84  10  10  76]],[[58 22 22 84]; [ 8 38 72 16]],[  2 104  98  94],[92 36 74 56]
[87 36],[70 76],64,20,[93 46],[15 85],[[90 82 20 14]; [66 34 34 16]],[[90 54 86 96]; [22  6 20 86]],[80 20 70 24],[  8   8  20 100]
[84 31],[ 2 35],96,74,[49  4],[48  0],[[ 64  22  78  20]; [ 60  56  46 104]],[[86  0 70 76]; [86 76 90  2]],[ 8 90 14 46],[86 46 88  2]
[62 36],[ 55 102],22,20,[48 71],[35 44],[[ 70  52  68  60]; [ 64 100 104  96]],[[ 0 16 22 44]; [62  8 64 44]],[ 46 100  28  86],[100  56  98  80]
[72 38],[38 59],42,88,[ 76 104],[ 1 30],[[62 72 60 58]; [70 56 56 78]],[[54 72  4 24]; [42 78 10  8]],[76 62 18 60],[24 28 20  4]
[94 21],[28  3],70,102,[95  4],[68 26],[[  2  38  72  78]; [ 72 100  54 100]],[[82 48  6 82]; [50 58 74 84]],[ 4 80 96 34],[66 22 84 56]
[64 88],[15 48],50,8,[95 99],[17 11],[[ 48  60  90 100]; [ 20  24  58  98]],[[ 14 100   0  78]; [ 68  72  62  82]],[38 66 80 42],[70 44 88 56]
[75 83],[37 21],24,46,[80 43],[38 21],[[98 90 24 96]; [18 52 70 62]],[[46 22 98 34]; [82 16 52 30]],[10 94 54 10],[72 82 52 68]
[97 54],[67 63],52,4,[61 34],[ 5 18],[[16 10 38 60]; [96 38 38 22]],[[ 48 100  44  70]; [ 86  80 104  58]],[100  16  22  96],[ 6 48 36  8]
[56 46],[104  63],50,100,[40 51],[23 67],[[22 96 20 36]; [70 96 50 74]],[[ 58   0  72  90]; [ 26  88  58 104]],[ 20  12 102  56],[10 26 68 32]
[17 80],[20 87],10,24,[77 40],[56 62],[[28 60  4 52]; [78 24 54 50]],[[14 24 80 52]; [40 62 92 70]],[ 90 104  50  86],[ 78 104  16  66]
[93 93],[32 85],98,98,[30 73],[42 87],[[84 32 30 66]; [10 82 30 12]],[[84 68 24 74]; [46  2 24 52]],[ 78 100  60  42],[102  88  60  38]
[ 7 23],[58  9],22,78,[99  7],[38 64],[[ 94  20  48   2]; [ 26  76 104  20]],[[56 66 14 56]; [18 42 70 74]],[14 14 54  0],[ 2  4 80 54]
[66 12],[75 58],36,98,[ 93 101],[18 72],[[94 52 12 74]; [96 12 84  4]],[[ 52 100  12  24]; [ 16  60  46  28]],[44 98 48 44],[24 36  2 78]
[ 35 100],[39 13],44,40,[77 80],[17 83],[[82 48 20 28]; [78 42 68 20]],[[24 50 12 38]; [26  4 62 12]],[28 36 20 66],[28 58 96 90]
[78 23],[45 21],58,6,[ 5 98],[10 96],[[ 62 102  76  32]; [100 102  66  94]],[[ 66  34  18  80]; [ 24  40 100  54]],[68 40 20 82],[64 38 36 68]
[74  3],[24 24],2,98,[67 17],[ 91 102],[[34 58 18 38]; [96 94 44 30]],[[54 58 26 52]; [80 54 46 30]],[94 96 78 44],[ 94  84 104  66]
[22 20],[68 38],14,48,[73 49],[97 46],[[ 44  88  44  98]; [100  56  96  14]],[[38 14 96 56]; [30 46  4 90]],[48 32 28 74],[22 38 32  4]
[66 21],[23 49],50,66,[ 9 95],[36 97],[[30 14 40 72]; [10 68  0 98]],[[26 36 44 38]; [18 48  4 28]],[24 86 62 36],[ 4 86 38  4]
