f_0,f_1,h_0,h_1,R_n,R_0,E_phi_0,E_phi_1,E_psi_0,E_psi_1,N_0_0,N_0_1,N_0_2,N_0_3,N_n_0,N_n_1,N_n_2,N_n_3,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7
80,14,64,40,8,26,77,104,55,48,64,94,80,94,20,68,82,82,88,70,4,18,100,70,36,28,48,12,100,84,36,10,78,50
17,70,21,0,80,22,74,33,41,70,86,16,38,96,16,4,104,90,10,38,90,18,76,2,68,92,92,82,68,22,36,84,64,88
69,102,96,81,24,32,77,53,56,42,64,38,56,4,104,66,104,50,90,82,104,100,94,104,52,66,84,102,2,76,70,38,0,10
50,3,22,62,36,6,66,97,28,7,20,76,14,26,54,58,34,46,68,52,14,40,100,94,64,68,104,82,80,2,24,98,86,0
8,9,9,102,32,76,79,55,10,96,8,28,12,36,76,40,102,62,38,64,26,6,98,98,4,12,62,20,86,90,54,76,104,28
98,29,88,65,18,10,77,20,69,47,90,10,60,36,100,90,52,96,98,66,88,16,42,94,54,58,44,72,22,38,54,66,90,30
58,77,41,87,98,62,31,45,15,14,18,96,54,46,30,54,74,48,70,6,94,20,64,90,92,60,42,12,72,52,4,84,8,92
18,3,8,14,76,58,93,71,39,8,72,2,6,2,48,4,44,86,78,38,48,104,6,64,32,94,80,100,52,30,52,24,0,54
69,75,27,20,6,2,31,51,84,70,28,84,66,80,4,102,64,80,88,64,24,60,78,52,12,6,16,10,30,76,34,92,30,78
62,102,4,19,92,72,18,69,15,32,74,10,92,84,38,46,30,92,40,30,28,64,94,22,86,58,38,28,44,102,40,28,34,52
62,55,42,26,46,46,64,12,40,37,84,86,66,40,92,66,62,80,14,10,48,100,48,28,80,6,8,102,52,38,46,78,100,14
96,89,9,82,96,90,10,53,48,22,66,20,58,102,24,56,34,0,52,52,32,70,36,46,10,14,26,36,48,92,102,32,84,56
49,5,29,29,50,64,74,14,4,54,60,0,34,40,98,98,84,24,74,66,100,10,36,74,74,86,40,104,48,62,76,84,74,24
75,82,100,87,44,80,79,57,95,29,70,40,14,98,70,100,56,78,70,100,80,62,46,78,42,24,26,6,104,66,102,36,60,84
66,50,99,65,84,82,57,5,17,69,18,52,78,68,100,52,10,40,64,4,82,18,58,46,60,32,6,50,100,86,62,16,18,22
62,7,99,73,48,92,63,101,50,37,64,78,0,56,32,34,2,78,46,58,8,30,84,98,26,54,24,18,92,0,60,78,26,82
31,54,73,74,94,38,7,70,36,6,32,84,28,94,2,40,90,50,40,74,0,6,96,52,104,60,90,0,34,32,82,56,56,92
58,90,67,99,88,16,75,98,72,47,98,14,4,104,4,60,18,72,102,90,10,32,54,50,86,104,10,46,74,24,56,44,32,54
55,58,6,5,18,84,89,79,54,92,92,26,36,32,54,70,36,32,12,78,78,20,96,64,28,90,86,2,26,20,48,6,44,64
102,47,47,89,74,4,96,96,36,78,8,100,22,30,50,98,104,12,64,84,42,38,14,68,48,68,104,92,56,86,66,6,32,42
15,58,98,6,22,80,41,29,61,47,80,66,88,54,86,66,52,14,40,82,20,22,100,90,56,0,86,58,16,70,62,68,36,60
7,68,80,62,10,100,61,100,41,78,4,44,24,66,54,94,72,104,40,52,30,38,70,68,2,46,58,8,20,42,6,40,92,78
49,0,6,84,16,2,18,18,43,12,26,2,42,44,42,86,58,54,32,74,80,94,102,10,24,26,68,32,22,32,84,62,52,8
92,47,37,7,76,64,34,50,52,19,28,38,78,104,66,22,56,42,48,60,8,0,78,92,18,56,40,66,82,4,68,60,100,44
38,61,45,25,2,88,9,6,44,76,76,12,86,22,78,38,38,62,82,104,4,56,94,66,4,60,84,40,16,52,82,94,64,0
74,23,50,57,44,40,7,25,75,19,56,10,88,52,70,36,68,58,84,34,92,58,76,100,88,94,102,96,76,76,96,70,6,58
59,26,98,66,14,60,65,26,26,94,64,82,30,90,72,48,60,16,44,56,104,88,56,52,42,6,96,36,74,42,38,54,18,42
81,97,9,75,42,60,74,48,5,12,50,84,26,78,80,38,98,14,64,44,80,0,64,6,22,58,82,32,2,58,84,40,0,104
49,42,43,85,14,32,22,80,64,38,30,82,96,46,68,6,26,94,50,90,42,34,34,8,22,88,14,60,44,62,82,72,84,32
91,1,51,19,4,74,11,80,54,48,104,68,82,2,96,86,24,40,86,8,90,102,42,42,74,94,82,78,18,104,30,4,84,86
87,14,65,66,68,4,40,34,75,11,14,60,18,96,18,86,96,46,36,100,16,102,6,98,20,42,8,22,18,90,104,38,42,58
54,17,18,76,50,16,44,32,51,65,28,56,92,10,78,18,14,54,26,54,92,96,104,8,94,44,76,20,0,94,20,56,28,92
60,28,25,34,74,2,103,28,60,70,34,66,52,70,64,56,40,52,30,48,4,24,20,10,84,64,34,52,48,90,78,18,88,84
53,20,11,42,6,8,4,95,91,68,40,32,22,64,82,28,94,0,26,4,16,8,64,56,58,76,84,40,16,36,64,4,68,72
48,104,60,74,50,98,27,90,11,2,26,72,10,64,30,42,50,26,96,56,60,86,102,50,72,64,80,38,50,18,74,32,12,102
4,4,101,92,66,14,1,40,62,51,4,62,12,96,26,72,4,54,60,48,20,6,34,102,30,34,76,100,62,52,52,78,18,84
95,39,94,88,6,8,23,85,91,27,76,40,4,74,30,66,32,58,30,66,104,76,44,60,78,86,100,30,48,12,78,10,34,52
48,43,25,11,14,50,72,15,65,59,36,54,16,84,84,86,4,34,86,96,14,78,12,24,4,78,100,90,94,42,102,30,42,14
43,44,1,60,74,98,70,28,96,38,18,74,56,82,28,4,24,38,26,78,56,26,10,66,20,52,36,36,72,40,102,62,46,40
36,6,61,11,12,96,85,74,27,99,32,98,10,56,78,42,82,88,40,80,92,104,88,104,54,42,72,22,22,100,26,70,86,40
50,71,48,91,8,46,85,17,40,75,2,24,72,46,14,70,44,80,12,84,56,46,14,6,56,26,10,90,78,42,96,94,6,86
39,52,35,15,22,22,27,6,78,66,52,104,16,56,22,60,94,26,12,42,72,82,84,26,38,32,16,82,20,18,44,28,46,58
62,16,16,78,34,54,96,29,16,69,82,78,86,46,12,98,98,24,56,86,2,76,42,14,14,78,18,68,84,90,38,26,26,96
68,91,32,84,74,52,24,71,67,28,0,102,56,30,68,38,56,72,28,54,48,2,26,100,26,72,78,32,18,34,100,56,56,50
70,85,9,95,6,2,83,73,96,21,20,34,30,64,2,34,96,64,0,26,94,82,4,6,30,2,100,72,4,78,14,48,26,90
66,14,15,80,52,64,104,30,62,42,6,38,44,46,34,70,104,66,38,88,12,28,100,14,84,42,4,0,28,54,0,102,24,30
2,27,29,88,54,94,72,83,39,14,44,42,26,12,2,102,94,14,44,86,82,14,22,46,80,90,86,22,2,26,22,52,88,94
48,42,14,65,76,84,93,29,83,59,32,38,64,94,100,6,70,84,48,10,22,6,28,8,12,72,86,38,58,92,48,42,88,8
57,40,60,44,14,86,59,10,101,82,74,36,88,30,8,60,88,62,4,4,60,28,104,16,74,40,6,62,60,40,100,8,16,88
67,38,74,62,94,72,68,60,49,90,62,0,92,64,62,52,0,84,64,8,34,38,84,30,22,14,56,104,12,52,36,16,34,86
85,72,76,23,22,14,69,83,87,4,100,14,4,56,58,30,36,70,32,20,56,62,6,2,28,84,28,10,104,58,28,88,0,68
70,79,68,72,30,102,50,49,7,92,32,88,102,50,40,32,32,42,82,72,52,28,20,18,48,32,92,92,24,30,20,100,64,100
75,69,51,62,28,10,101,12,26,24,40,60,4,84,14,82,50,82,32,64,66,34,80,78,24,66,10,46,2,72,38,20,16,70
33,80,20,69,10,66,103,20,50,10,102,58,70,56,0,42,60,72,14,72,40,82,44,8,10,32,80,4,26,28,12,96,88,94
36,0,55,42,2,68,54,42,101,71,10,2,88,98,34,46,8,42,20,82,64,38,70,18,40,104,80,44,52,34,8,60,66,64
10,12,2,16,88,46,101,71,76,69,86,68,102,88,56,88,12,46,82,56,46,16,82,78,4,38,14,90,14,42,88,2,14,38
60,11,75,81,52,94,34,46,100,68,0,26,4,90,50,8,12,34,66,104,78,60,20,68,62,62,18,66,46,80,100,80,28,14
56,44,74,104,18,20,99,51,67,23,34,56,10,10,60,56,28,52,12,8,16,30,24,64,58,96,98,72,88,102,82,42,58,66
62,69,84,90,86,100,3,78,13,48,16,40,90,40,52,22,42,14,40,56,58,42,44,80,58,50,6,38,34,50,72,48,38,40
90,44,26,33,52,40,1,67,66,1,54,88,0,16,90,88,100,44,24,92,26,24,10,94,90,32,64,66,10,40,68,94,32,92
45,43,64,62,28,34,95,80,45,69,0,92,16,12,44,88,42,100,94,102,90,38,46,10,90,40,36,78,74,2,46,4,48,76
65,58,25,74,96,94,25,12,75,80,104,88,90,92,16,82,24,14,62,28,12,80,78,94,20,68,10,68,24,64,46,80,54,52
54,2,38,65,20,42,12,91,65,96,4,28,74,48,40,34,96,14,96,68,34,90,96,0,16,28,82,44,56,90,30,28,74,104
32,57,70,75,40,68,34,68,95,51,24,80,10,60,56,16,60,12,10,98,84,84,76,98,10,98,46,24,66,66,78,24,76,24
9,21,47,99,30,102,55,34,64,98,102,32,90,8,12,20,94,74,76,66,26,26,24,46,4,18,8,28,16,28,30,2,46,88
68,51,9,5,50,78,99,40,29,18,82,104,2,38,86,98,80,70,56,18,28,88,10,30,94,12,60,18,16,68,10,8,70,68
89,44,5,42,18,88,10,26,77,10,36,50,14,102,66,34,34,28,96,16,30,22,46,64,62,82,72,76,44,8,82,68,94,68
104,80,55,101,96,72,53,14,91,22,38,6,30,72,58,60,10,42,40,14,84,40,26,0,34,42,28,16,26,80,88,86,38,62
66,13,45,66,70,28,101,68,74,60,40,34,6,34,76,78,6,4,44,88,100,6,80,94,32,30,52,80,100,92,12,28,60,44
20,38,41,50,84,26,92,71,82,81,0,80,48,6,30,68,52,56,48,2,48,50,38,28,74,12,34,86,16,70,52,70,10,100
22,11,11,8,78,76,9,28,89,60,80,64,70,60,0,86,60,42,34,62,70,38,70,48,80,96,74,44,90,80,62,42,98,98
11,77,37,99,12,52,63,57,92,100,80,18,28,82,14,6,92,0,70,8,90,20,18,74,64,38,36,28,76,90,70,10,10,80
0,76,59,63,26,14,102,74,84,43,98,78,34,30,6,48,40,32,84,98,40,54,30,8,86,24,82,4,18,100,50,66,0,56
79,86,101,93,80,60,26,55,77,86,94,24,28,48,100,2,80,92,76,84,30,102,6,74,38,72,12,2,32,78,28,38,90,104
2,9,95,49,4,6,80,42,77,6,58,12,68,86,104,70,24,58,86,64,82,6,46,12,72,4,12,94,66,78,10,66,54,68
94,52,27,103,8,48,76,52,102,98,98,66,76,54,82,56,12,64,84,98,64,94,90,98,84,86,44,38,42,50,4,26,56,100
1,8,65,14,92,98,25,79,85,82,34,20,0,6,54,64,72,54,74,90,86,74,38,52,78,42,78,80,4,4,48,60,56,66
67,17,45,91,26,6,18,38,41,35,64,32,88,34,84,46,0,32,82,6,60,30,38,76,28,46,6,80,82,0,66,78,80,32
55,12,26,51,66,6,73,78,87,67,32,30,70,60,68,80,46,48,38,8,86,72,0,90,52,62,32,96,30,38,44,16,56,2
49,58,83,13,74,34,43,47,4,55,94,104,26,16,30,88,76,66,0,60,60,40,72,48,66,92,38,26,42,2,14,42,2,12
61,31,34,4,6,92,13,90,3,21,54,82,56,78,44,98,46,64,20,104,56,22,64,8,16,6,46,26,102,104,22,46,16,100
25,22,97,27,26,34,95,12,44,103,62,56,32,92,38,16,36,30,14,100,54,26,98,38,26,34,70,34,54,40,84,24,62,46
86,31,104,7,92,6,102,24,28,73,24,76,54,88,12,90,60,24,86,48,70,74,40,74,34,62,92,18,100,90,40,94,100,30
55,74,89,70,76,10,96,91,80,54,46,78,52,78,18,80,16,34,2,48,60,46,96,88,36,80,58,50,76,52,38,18,74,56
26,12,48,31,38,34,86,79,35,38,38,98,88,76,30,58,64,60,88,100,60,0,28,54,70,14,102,74,48,66,0,58,90,32
83,46,22,68,78,24,15,37,80,23,10,38,4,16,28,62,36,86,76,54,88,84,30,22,84,92,68,80,104,14,2,82,0,64
97,21,80,88,50,98,51,95,99,62,26,44,42,76,12,90,70,76,4,52,32,0,74,16,56,98,64,48,50,90,36,80,60,60
71,72,33,32,22,88,91,15,6,49,2,34,96,60,56,50,52,42,36,42,16,88,74,18,10,88,104,4,10,42,100,86,88,94
75,88,64,95,18,18,46,98,24,98,34,104,86,52,40,12,36,90,14,16,72,6,56,78,64,24,80,12,76,58,16,36,10,42
22,23,47,69,26,38,33,20,80,14,90,26,14,18,34,56,34,4,74,42,50,56,56,40,98,6,88,8,26,62,68,0,74,20
91,33,27,40,64,38,74,25,20,79,96,72,6,104,44,44,94,64,84,96,78,62,82,86,86,60,86,30,26,34,78,86,42,2
85,67,34,31,30,92,59,59,22,88,98,90,66,96,46,4,40,52,72,32,94,74,30,24,62,56,28,56,22,72,84,74,0,74
92,35,11,18,96,74,21,8,19,5,28,16,66,84,94,104,14,20,14,40,10,14,2,54,56,6,64,0,70,68,66,62,20,64
27,64,74,34,84,58,37,60,46,12,56,74,100,26,94,58,76,54,62,72,56,4,20,44,88,80,24,102,82,100,92,52,10,30
46,63,78,34,88,8,67,3,79,7,24,58,72,20,24,40,50,82,6,60,58,94,18,58,48,102,48,84,26,60,6,72,80,36
1,0,52,91,6,28,67,26,79,79,70,34,50,84,16,80,86,68,54,92,18,62,18,20,48,70,8,30,2,12,98,18,0,28
25,14,32,59,10,98,53,35,15,18,52,24,2,74,70,58,94,98,70,56,52,30,4,40,16,80,4,56,42,90,42,32,54,14
4,78,33,80,78,36,9,34,67,10,48,52,24,22,98,60,72,104,92,50,16,34,50,22,38,94,104,30,28,40,104,36,36,46
102,102,33,39,8,48,28,71,60,43,44,96,78,74,54,56,20,4,34,52,84,88,30,46,22,76,94,104,42,6,92,0,96,38
34,28,74,57,36,20,35,31,82,40,12,44,100,52,20,26,74,40,50,40,54,38,62,36,10,88,52,84,92,88,94,8,16,102
14,45,44,6,90,62,49,24,17,17,42,28,36,32,32,104,70,74,68,56,76,94,94,28,102,52,78,92,32,94,62,52,82,92
54,87,19,26,36,48,94,75,47,10,20,98,42,76,70,24,10,62,96,100,74,90,54,66,52,16,82,4,48,48,80,78,22,86
76,21,66,86,90,10,92,28,47,52,76,70,62,88,84,100,8,62,14,92,94,34,20,20,84,42,10,14,102,22,72,28,64,98
29,78,65,22,62,4,75,21,76,24,82,68,26,78,10,40,18,20,34,6,10,12,104,88,86,52,32,38,46,92,38,32,52,70
12,77,17,31,80,8,73,16,103,18,16,46,72,96,14,2,42,24,46,34,62,98,84,46,68,90,46,38,8,10,12,76,58,6
103,83,47,32,10,6,35,103,37,56,78,12,64,84,48,90,94,82,66,28,82,36,50,84,0,58,90,28,78,16,88,74,76,102
51,51,31,91,72,84,55,28,100,97,78,52,52,72,90,60,76,86,4,76,54,54,98,40,16,68,8,14,64,78,80,34,10,32
62,27,50,30,92,48,63,8,91,73,18,84,18,12,16,46,0,80,72,6,92,96,32,2,90,88,32,30,0,76,0,56,68,70
24,100,87,94,70,62,47,8,84,17,58,32,4,76,46,96,32,40,10,44,2,84,0,54,40,102,22,22,80,58,28,26,80,2
43,50,94,100,42,98,62,24,62,5,22,48,42,14,82,72,16,90,36,8,50,60,72,104,54,40,20,88,34,74,10,14,38,88
85,38,30,71,20,90,63,67,47,71,86,84,86,94,18,42,44,18,66,96,28,10,36,66,24,78,86,62,40,80,38,78,14,2
15,22,104,95,4,76,65,38,12,86,102,2,6,40,10,98,38,92,102,78,6,70,66,10,24,16,2,102,32,16,74,98,94,76
88,50,47,14,30,62,14,19,48,92,14,50,2,100,32,26,10,70,72,12,4,4,46,88,36,26,10,40,22,46,18,60,24,56
8,71,17,60,88,42,104,54,1,82,38,62,72,46,94,4,88,6,90,64,82,98,8,14,16,74,88,102,70,82,82,12,30,18
75,68,19,9,36,8,74,65,20,71,60,92,2,82,84,54,28,94,10,102,40,98,36,72,80,40,58,24,50,78,26,20,18,102
75,103,95,10,30,80,50,28,61,16,48,8,54,52,50,10,80,100,12,70,72,36,72,84,44,94,22,72,46,0,100,6,38,12
40,6,26,94,48,44,98,81,88,85,42,20,68,82,72,30,12,38,38,24,104,2,14,68,34,92,94,44,14,92,24,54,80,98
3,45,71,14,52,44,55,25,44,54,44,64,28,24,36,70,100,102,26,78,26,70,78,34,90,6,58,10,10,0,76,78,2,56
75,3,62,25,56,56,62,78,102,78,54,4,38,22,88,28,54,104,28,58,58,56,42,20,24,104,92,8,2,40,10,20,8,14
40,75,61,100,24,22,26,84,68,72,20,54,96,44,66,94,20,50,52,86,40,16,16,104,46,66,6,98,74,42,92,40,50,20
64,68,98,51,98,48,77,60,96,81,70,68,50,34,28,50,72,26,88,46,52,32,12,84,78,22,82,62,22,8,70,78,26,12
53,9,32,96,52,38,79,67,57,7,62,24,22,72,22,18,100,38,100,4,92,12,92,12,44,10,14,74,68,80,70,104,56,10
71,82,18,84,68,86,31,74,10,22,78,76,32,38,30,30,10,46,54,104,72,38,8,66,18,32,78,20,4,100,38,46,102,100
25,42,54,58,38,30,25,64,78,56,60,98,6,6,82,62,58,40,102,16,94,58,86,82,40,40,40,102,56,44,50,48,42,70
87,75,50,38,98,56,77,100,60,27,2,100,98,58,22,92,46,10,42,14,12,2,40,22,48,38,34,50,36,0,64,8,52,30
83,24,90,1,12,102,54,78,38,95,52,2,68,38,56,90,58,30,8,88,32,98,50,86,48,24,90,58,98,4,60,40,80,36
84,99,19,21,12,54,12,70,12,56,92,88,86,64,62,74,24,44,70,52,22,26,12,56,10,30,40,18,76,76,34,18,102,32
54,56,64,46,54,12,57,13,76,0,24,72,90,80,48,92,78,30,24,42,104,84,102,52,14,104,16,90,78,40,104,80,98,50
103,46,92,32,74,4,62,2,43,12,94,32,74,24,78,74,46,72,50,22,12,42,48,32,4,40,98,8,30,8,28,28,98,58
25,90,62,16,28,6,45,101,68,82,8,56,98,90,48,26,82,98,62,40,56,96,20,76,12,2,88,92,76,70,54,70,82,72
23,83,84,67,64,54,17,73,86,7,88,72,78,88,88,54,50,98,92,84,8,26,98,40,66,34,58,2,34,20,12,56,66,76
43,34,40,22,10,88,88,44,78,10,88,4,60,94,14,6,84,70,66,74,14,14,54,22,90,16,6,96,88,48,24,70,24,18
81,23,76,38,38,90,99,75,58,10,38,24,22,68,66,84,32,82,6,62,22,14,38,34,64,52,88,52,14,56,90,20,0,80
46,88,60,11,36,24,20,68,77,13,78,104,94,52,104,42,26,60,80,24,42,20,76,76,42,28,74,38,10,60,22,80,100,14
36,98,18,9,26,22,38,95,38,23,12,70,78,6,64,66,42,42,18,34,80,82,38,52,72,70,72,50,70,78,18,12,10,50
19,35,6,20,72,58,99,4,51,25,38,60,84,54,2,24,98,34,64,22,78,2,90,30,66,6,8,10,24,100,4,100,58,72
50,46,16,13,54,20,93,30,40,65,62,72,50,18,50,36,38,44,72,38,94,90,48,94,28,90,46,86,36,76,104,54,56,0
18,102,78,71,90,88,69,6,3,82,12,80,20,30,102,46,48,28,66,96,40,58,48,100,62,74,88,40,52,86,68,24,70,22
42,34,96,27,90,36,85,66,90,103,2,92,40,38,6,80,22,40,18,0,6,40,6,104,68,32,66,26,66,52,92,18,76,94
25,104,46,12,28,82,56,65,12,3,78,88,14,28,42,58,82,34,12,90,82,72,46,86,30,68,28,64,6,30,94,98,64,38
1,73,3,50,64,26,66,63,81,55,36,66,98,68,10,36,86,88,30,38,14,82,28,20,60,88,72,34,72,8,96,84,82,80
66,99,99,0,80,100,82,41,3,57,90,24,100,46,86,30,50,36,4,36,66,64,28,78,80,104,100,54,50,18,32,2,74,66
28,97,24,57,8,22,101,88,12,42,50,90,26,34,64,32,14,8,62,28,52,22,50,86,104,26,80,92,54,98,48,42,48,70
2,3,65,15,10,50,80,47,53,102,34,48,4,86,82,32,34,80,84,6,92,104,44,60,36,92,68,42,2,52,54,18,104,40
100,73,41,26,22,60,1,20,67,34,30,50,104,70,14,74,32,38,28,46,18,20,72,90,70,8,76,88,80,44,20,66,88,76
82,61,0,49,10,26,11,2,15,5,60,98,104,68,4,100,70,94,32,90,104,52,28,104,44,86,92,102,52,34,66,52,24,50
94,30,11,42,62,14,23,34,28,37,28,22,34,58,90,34,76,14,58,56,104,50,54,98,94,24,52,30,76,16,102,90,88,8
63,96,72,5,38,88,86,67,96,69,12,56,66,38,100,96,88,10,6,14,104,48,12,48,80,10,60,38,36,94,90,58,100,68
15,37,62,88,80,34,36,6,73,10,68,58,28,104,28,36,56,24,44,38,44,34,92,10,76,6,62,92,20,100,14,22,100,42
75,90,56,68,12,60,87,51,97,14,44,44,48,12,4,104,0,12,66,94,18,100,10,38,74,38,42,68,18,96,20,98,6,18
46,2,67,69,38,84,90,93,28,41,96,58,18,18,78,68,88,54,70,0,56,96,68,76,64,16,84,20,92,76,80,48,72,32
71,3,55,23,62,52,46,37,6,69,8,68,88,28,36,0,16,80,78,0,76,4,90,72,78,74,84,14,98,8,48,14,74,20
64,15,67,25,74,46,93,22,46,100,8,40,16,50,98,102,74,22,52,48,68,4,30,20,98,52,100,52,6,62,74,94,2,104
88,89,64,5,12,12,12,3,36,92,94,72,74,82,20,100,102,8,46,12,38,8,56,74,24,20,76,64,2,42,68,50,20,46
48,2,63,34,56,60,34,6,12,83,62,4,0,38,60,44,104,70,90,12,70,0,88,8,66,90,102,70,46,104,76,74,94,22
93,30,101,90,40,20,101,11,29,49,98,4,68,48,26,82,14,0,54,26,102,14,48,6,72,70,28,28,84,66,2,68,60,102
44,66,24,34,34,56,19,66,37,15,16,46,8,34,10,40,62,36,90,28,32,94,72,8,8,48,14,78,100,16,100,54,48,52
24,15,98,9,34,62,72,50,93,19,40,102,74,100,96,104,40,0,80,50,66,24,84,88,102,58,94,16,50,100,4,4,56,82
65,46,52,59,92,86,4,21,45,66,10,94,28,12,66,8,44,38,22,78,0,38,68,46,62,102,30,48,62,0,46,80,14,10
81,59,52,81,62,28,6,99,75,18,56,2,36,26,98,90,10,72,48,36,38,84,32,92,6,48,44,28,82,98,80,54,88,26
85,52,27,47,18,62,73,13,86,92,20,30,68,76,42,2,18,24,18,66,104,36,48,82,64,36,44,14,44,72,72,18,24,76
24,38,52,29,46,88,32,31,34,64,18,80,98,54,36,44,80,96,8,74,40,66,68,32,96,96,26,104,74,28,98,20,10,58
63,8,36,37,40,34,42,62,81,97,76,80,28,62,40,72,94,78,56,2,68,62,14,38,70,72,6,32,78,100,70,58,30,102
23,38,85,53,78,58,79,93,49,6,32,34,78,36,20,70,54,98,74,20,84,0,22,4,38,0,56,0,96,88,66,14,32,62
103,56,100,66,42,52,33,74,91,89,102,86,82,70,68,74,42,16,48,6,32,32,14,68,58,58,16,76,22,52,26,14,20,50
58,28,33,51,18,82,32,48,11,8,64,46,76,28,46,42,46,76,90,6,44,78,16,88,8,20,14,92,10,44,50,58,66,102
20,51,87,104,32,16,40,99,36,94,94,46,100,102,30,42,2,22,70,80,22,24,36,0,72,70,20,104,58,28,16,58,66,24
23,38,99,58,48,30,96,88,79,99,14,30,78,98,16,80,42,74,102,4,92,14,34,52,82,70,26,18,62,42,30,68,62,12
10,93,90,7,86,28,8,22,87,53,90,2,52,62,78,98,18,86,40,24,24,28,0,100,4,12,82,32,10,98,102,50,104,62
99,31,23,39,6,76,43,51,71,4,88,70,82,66,88,104,98,80,80,56,14,62,32,70,58,2,34,100,16,44,56,100,64,26
47,50,3,58,2,48,76,52,7,73,104,72,36,82,84,6,48,44,76,38,22,58,40,58,96,70,34,34,60,24,38,32,46,92
86,10,40,46,26,72,36,95,34,29,96,96,86,64,40,24,80,94,46,30,20,80,90,102,58,64,70,58,86,66,58,32,64,44
65,24,20,24,48,60,9,59,66,80,84,4,76,64,82,24,12,68,98,36,50,66,22,28,24,94,56,18,62,32,26,66,94,68
93,20,22,77,2,34,40,2,68,69,6,98,40,98,80,38,16,86,48,90,80,20,68,48,26,58,80,42,2,60,60,28,46,34
4,74,67,99,86,26,16,62,37,13,104,72,0,0,60,80,0,92,86,70,16,48,84,96,84,28,80,30,14,42,14,88,46,48
28,93,96,100,74,8,30,81,32,36,54,62,96,78,4,30,14,90,34,50,50,48,52,74,30,24,80,76,100,88,86,40,64,86
93,27,57,83,86,46,66,95,89,60,48,66,14,96,14,94,54,46,90,70,48,0,16,12,96,18,42,80,76,68,44,54,54,66
64,72,25,44,48,68,76,48,22,46,80,88,80,22,38,32,50,10,72,44,56,14,38,54,42,90,18,84,0,38,36,38,22,82
1,66,89,21,102,92,56,37,42,21,72,38,42,68,0,38,20,74,54,96,50,32,60,100,88,48,0,26,102,64,52,40,76,96
49,30,64,30,2,2,95,57,29,98,94,70,40,100,96,80,72,92,44,36,44,60,82,2,8,58,42,38,86,8,62,36,28,60
103,30,78,18,82,82,98,21,30,101,104,92,28,44,82,102,46,94,68,56,46,102,26,22,64,26,102,92,54,24,10,12,84,12
50,31,4,21,72,8,98,35,84,53,52,14,14,62,36,66,16,74,98,104,88,54,8,102,72,92,32,34,14,2,24,66,26,2
15,80,5,16,76,2,41,70,100,85,88,66,56,26,104,0,64,84,94,2,102,2,36,82,48,34,88,56,76,16,4,72,90,66
45,47,19,7,44,60,46,93,95,97,94,64,54,100,84,0,44,64,76,18,22,24,72,10,18,30,94,78,50,6,40,68,46,10
103,25,5,73,26,82,62,92,85,34,104,14,10,100,38,76,56,52,12,104,102,72,104,10,24,96,8,74,52,98,90,52,12,26
35,31,51,84,78,78,34,70,81,15,60,46,36,94,44,74,22,12,8,70,60,70,14,14,80,18,24,74,80,54,26,32,8,104
96,25,15,7,68,6,15,39,100,69,66,92,72,76,26,68,34,50,38,20,12,44,22,22,94,94,36,90,68,22,84,28,88,76
57,79,82,48,94,8,28,63,64,28,38,58,42,96,58,98,64,56,8,44,2,30,10,10,76,22,26,32,98,44,44,44,64,8
88,16,57,76,28,30,92,80,17,62,38,68,86,90,72,78,28,78,78,56,102,18,2,44,86,2,90,72,10,8,54,14,50,8
26,34,83,74,12,100,25,83,46,51,10,58,4,100,0,98,40,102,26,98,6,86,38,18,52,48,58,54,26,72,56,72,32,72
29,40,24,9,38,16,74,86,16,67,22,68,18,102,16,32,28,70,94,102,76,74,38,38,80,24,30,26,46,8,6,24,10,82
57,103,88,62,28,42,70,28,32,65,44,16,40,28,60,54,48,28,0,70,52,86,60,50,0,14,10,60,42,82,12,0,30,16
94,57,49,38,20,14,51,19,34,103,54,104,16,76,42,46,30,82,66,56,12,76,20,94,48,2,82,38,16,80,36,6,90,22
55,26,27,85,80,102,96,21,71,34,28,80,76,42,40,52,40,98,48,98,46,64,28,8,28,14,58,50,18,96,64,68,64,38
41,48,103,20,94,82,52,64,90,61,28,88,4,10,52,82,46,2,18,58,58,12,90,68,68,22,18,28,10,68,18,28,62,66
37,58,14,69,84,22,45,42,62,20,72,78,60,54,66,46,74,60,82,76,96,94,42,6,42,8,40,54,54,42,62,12,90,28
31,12,43,85,72,94,76,17,84,82,2,74,2,24,28,20,92,100,30,60,70,32,46,56,36,2,38,86,88,70,36,42,50,100
78,98,6,67,14,80,61,92,55,19,78,80,40,44,92,92,2,30,48,20,18,38,40,36,34,36,98,52,84,68,44,4,50,20
72,26,44,46,34,84,69,44,8,58,6,54,46,12,50,64,34,104,94,6,44,16,90,64,14,14,102,72,92,10,8,76,22,64
72,89,57,75,34,10,67,1,58,71,44,64,6,84,10,50,48,8,4,74,42,98,18,28,16,100,72,40,52,76,52,18,66,88
1,83,68,4,54,52,33,48,38,9,16,74,94,72,60,60,60,10,0,36,64,4,74,34,46,76,14,28,48,40,28,96,52,82
32,42,8,3,32,80,58,9,46,57,70,104,96,86,96,56,36,90,64,38,88,56,40,102,62,2,18,84,60,2,94,14,50,54
25,103,11,31,86,66,8,33,71,73,24,16,102,2,70,36,100,90,54,10,56,50,86,8,0,54,30,0,24,20,30,44,80,58
